driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Ricky Stenhouse Jr.,3888,Chv,47,81,33,112.636,23.971,HYAK Motorsports,False,False,36,23,green
Erik Jones,4059,Tyt,43,348,25,112.631,23.972,Legacy Motor Club,False,False,18,26,green
Kyle Larson,4030,Chv,5,43,18,112.631,23.972,Hendrick Motorsports,False,False,30,6,green
Zane Smith,4272,Frd,38,43,21,112.631,23.972,Front Row Motorsports,False,False,29,11,green
Carson Hocevar,4326,Chv,77,249,4,112.631,23.972,Spire Motorsports,False,False,15,15,green
Ryan Preece,4070,Frd,60,243,16,112.631,23.972,RFK Racing,False,False,1,35,green
Ricky Stenhouse Jr.,3888,Chv,47,131,28,112.627,23.973,HYAK Motorsports,False,False,36,23,green
Kyle Busch,454,Chv,8,244,18,112.627,23.973,Richard Childress Racing,False,False,28,16,green
Austin Dillon,3873,Chv,3,214,4,112.627,23.973,Richard Childress Racing,False,False,11,1,restart
Kyle Busch,454,Chv,8,298,22,112.627,23.973,Richard Childress Racing,False,False,28,16,green
Corey Heim,4387,Tyt,67,360,32,112.627,23.973,23XI Racing,False,True,32,29,green
Chase Briscoe,4228,Tyt,19,84,10,112.627,23.973,Joe Gibbs Racing,False,False,19,13,green
Noah Gragson,4224,Frd,4,133,26,112.622,23.974,Front Row Motorsports,False,False,22,27,green
Kyle Larson,4030,Chv,5,132,8,112.622,23.974,Hendrick Motorsports,False,False,30,6,green
Chris Buescher,3989,Frd,17,190,21,112.622,23.974,RFK Racing,False,False,12,30,green
Austin Dillon,3873,Chv,3,220,4,112.622,23.974,Richard Childress Racing,False,False,11,1,green
Todd Gilliland,4231,Frd,34,84,22,112.617,23.975,Front Row Motorsports,False,False,31,25,green
Ross Chastain,4001,Chv,1,343,22,112.617,23.975,Trackhouse Racing,False,False,33,19,green
Daniel Suarez,4113,Chv,99,249,5,112.613,23.976,Trackhouse Racing,False,False,21,7,green
